Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655359.6655061,-0.6975,15.303858984000001,7385,1
1539655359.697099,-0.6975,15.303858984000001,7385,1
1539655359.728885,-0.6975,15.261373836,7353,1
1539655359.760798,-0.6974,15.303858984000001,7383,1
1539655359.792846,-0.6974,15.261373836,7383,1
1539655359.825276,-0.6974,15.303858984000001,7383,1
1539655359.856907,-0.6974,15.303858984000001,7383,1
1539655359.889101,-0.6973,15.303858984000001,7381,1
1539655359.920842,-0.6973,15.261373836,7381,1
1539655359.9529002,-0.6973,15.261373836,7381,1
1539655359.9850051,-0.6973,15.261373836,7381,1
1539655360.016953,-0.6972,15.261373836,7379,1
1539655360.049293,-0.6972,15.303858984000001,7379,1
1539655360.081093,-0.6972,15.261373836,7379,1
1539655360.1132421,-0.6972,15.303858984000001,7379,1
1539655360.145422,-0.6972,15.261373836,7379,1
1539655360.177204,-0.6972,15.261373836,7379,1
1539655360.209553,-0.6972,15.261373836,7379,1
1539655360.241288,-0.6972,15.261373836,7379,1
1539655360.2733572,-0.6971,15.261373836,7377,1
1539655360.30514,-0.6971,15.261373836,7377,1
1539655360.3372512,-0.6971,15.261373836,7377,1
1539655360.369216,-0.6971,15.303858984000001,7377,1
1539655360.401262,-0.697,15.303858984000001,7375,1
1539655360.433274,-0.697,15.17640354,7375,1
1539655360.46541,-0.697,15.218888688000003,7375,1
1539655360.497164,-0.6969,15.303858984000001,7373,1
1539655360.529162,-0.6969,15.218888688000003,7373,1
1539655360.561357,-0.6969,15.261373836,7373,1
1539655360.593245,-0.6968,15.261373836,7371,1
1539655360.625365,-0.6968,15.261373836,7371,1
1539655360.657835,-0.6968,15.261373836,7371,1
1539655360.689763,-0.6968,15.303858984000001,7371,1
1539655360.721452,-0.6968,15.218888688000003,7371,1
1539655360.7535,-0.6968,15.261373836,7371,1
1539655360.785347,-0.6967,15.261373836,7369,1
1539655360.817621,-0.6967,15.261373836,7369,1
1539655360.8495848,-0.6967,15.303858984000001,7369,1
1539655360.881452,-0.6967,15.17640354,7367,1
1539655360.913413,-0.6966,15.261373836,7367,1
1539655360.945612,-0.6966,15.261373836,7367,1
1539655360.977938,-0.6966,15.17640354,7365,1
1539655361.009452,-0.6965,15.261373836,7365,1
1539655361.041867,-0.6965,15.303858984000001,7365,1
1539655361.073961,-0.6965,15.218888688000003,7365,1
1539655361.1055841,-0.6965,15.218888688000003,7365,1
1539655361.137737,-0.6965,15.261373836,7365,1
1539655361.169714,-0.6964,15.261373836,7363,1
1539655361.249998,-0.6964,15.218888688000003,7363,2
1539655361.281763,-0.6963,15.048948096,5205,2
1539655361.313684,-0.7965,11.735106552000001,4015,2
1539655361.345668,-0.9407,10.120670928,3201,2
1539655361.3777978,-1.1007,8.931086784000001,2645,2
1539655361.410054,-1.2704,8.16635412,2181,2
1539655361.441922,-1.4437,7.444106604000002,1835,2
1539655361.473994,-1.6182,6.891799680000001,1559,2
1539655361.505884,-1.7979,6.424463052000001,1313,2
1539655361.537971,-1.9772,5.914641276000002,1035,2
1539655361.570051,-2.1575,5.574760092000002,745,2
1539655361.602056,-2.3393,5.107423464000001,597,2
1539655361.634094,-2.5213,4.767542280000001,367,2
1539655361.666154,-2.7068,4.512631392000001,311,2
1539655361.698369,-2.8968,4.215235356,263,2
1539655361.730135,-3.0822,4.002809616,-267,2
1539655361.762183,-3.269,3.6629284320000015,-280,2
1539655361.7944808,-3.4591,3.4505026920000015,-410,2
1539655361.826057,-3.6504,3.2380769520000015,-480,2
1539655361.858022,-3.8319,2.9406809160000003,-674,2
1539655361.89005,-4.0159,2.7707403240000024,-694,2
1539655361.922428,-4.2035,2.6007997320000014,-854,2
1539655361.954516,-4.3951,2.3883739920000018,-980,2
1539655361.986198,-4.584,2.2609185480000007,-944,2
1539655362.01827,-4.7682,2.1334631040000023,-1066,2
1539655362.0502489,-4.9574,1.921037364000002,-1120,2
1539655362.082446,-5.1461,1.8360670680000006,-1270,2
1539655362.1142058,-5.3352,1.6661264760000003,-1352,2
1539655362.1462898,-5.5214,1.5811561800000011,-1334,2
1539655362.1788821,-5.7104,1.4537007360000003,-1460,2
1539655362.210355,-5.9058,1.3262452920000016,-1442,2
1539655362.24265,-6.0967,1.2412749960000002,-1456,2
1539655362.274339,-6.2858,1.1563047000000013,-1582,2
1539655362.306729,-6.4734,1.0288492560000004,-1584,2
1539655362.338391,-6.6641,0.9438789600000013,-1596,2
1539655362.370393,-6.8532,0.9013938120000017,-1662,2
1539655362.402485,-7.0462,0.8589086639999999,-1712,2
1539655362.434426,-7.2365,0.7739383680000007,-1734,2
